"","14226","14307","14435","14503","14651","14852","14858","14871","14921","15015","15021","15408","15424","20100","20101","20146","20330","20707","20713","20717","20730","20735","20919","20923","20930","21112","21133","21166","21173","21301","21338","29142","29147","29345","29386","29389","29534","29548","29566","29722","29732","29735","29754","29924","29935","29940","39310","40300","40304","40305","40700","40701","40702","40703","40704","40705","40707","40902","40906","40908","40909","40910","40915","40916","41101","41102","41104","41107","41110","41111","41112","41300","41301","41302","41303","41304","41305","41308","41500","41501","41502","41503","41504","41505","41700","41701","41702","41703","49308","49703","49706","94659","49300"
"14226",0,588,704,24,490,28,626,692,34,510,592,588,46,52,28,30,618,584,654,402,78,750,32,586,608,48,36,42,32,44,44,588,734,36,36,622,30,28,40,46,602,32,34,626,32,604,618,74,32,28,570,452,514,584,604,48,36,40,544,716,476,524,348,514,650,36,150,36,108,28,620,472,740,28,390,48,546,680,30,32,30,48,22,34,580,710,558,42,626,106,34,32,554
"14307",588,0,132,572,96,568,76,102,572,98,64,46,598,604,578,570,42,42,92,194,554,182,588,88,76,580,576,614,590,600,594,66,180,606,568,68,588,580,554,566,86,572,584,86,600,48,56,532,552,578,44,132,78,48,66,580,598,614,68,138,110,80,262,76,78,580,598,578,630,608,78,132,178,594,212,590,74,134,584,594,604,618,564,580,98,156,52,590,56,508,604,574,72
"14435",704,132,0,698,222,694,112,78,700,218,122,138,726,692,700,694,110,140,106,324,662,54,702,154,116,700,700,732,712,726,710,134,68,718,696,112,714,686,672,688,140,698,712,126,714,122,104,650,668,706,158,254,204,148,114,680,716,728,172,50,244,196,388,194,104,696,666,704,708,718,110,260,48,718,346,698,180,66,696,710,718,720,684,694,132,40,162,702,104,636,716,702,116
"14503",24,572,698,0,474,12,612,678,18,490,584,574,30,68,16,22,604,570,648,386,66,750,28,568,590,36,20,42,24,40,48,576,736,36,24,608,18,28,32,34,584,20,22,612,44,586,604,58,18,16,554,448,498,562,590,56,28,44,526,720,456,514,336,494,636,30,166,16,120,40,606,456,740,32,370,52,528,678,24,24,34,58,14,22,570,710,544,50,604,94,42,20,550
"14651",490,96,222,474,0,468,140,188,476,66,136,108,500,514,478,470,126,104,178,124,480,280,486,100,128,488,482,516,492,498,510,112,268,502,468,132,488,482,458,476,116,468,484,146,506,116,134,438,458,478,82,70,74,94,120,488,498,510,60,234,56,68,174,68,154,482,550,474,564,512,142,74,268,490,120,494,82,226,488,494,500,512,464,480,124,238,72,488,138,410,504,476,124
"14852",28,568,694,12,468,0,604,670,10,484,578,568,30,72,8,18,598,566,642,376,74,744,24,564,584,44,16,46,24,32,52,570,728,40,22,604,14,20,20,34,580,12,18,604,40,582,600,54,14,4,548,442,498,558,586,52,32,48,522,710,450,510,326,488,628,24,168,12,128,40,600,450,734,32,364,52,522,672,26,20,38,58,10,18,562,706,540,54,600,84,42,8,542
"14858",626,76,112,612,140,604,0,110,610,128,70,60,640,634,618,604,66,74,102,236,596,152,628,106,60,624,614,656,628,642,642,54,152,646,610,56,628,616,592,612,92,612,624,62,640,60,58,570,590,618,70,168,142,70,48,622,636,654,90,124,150,116,296,124,58,614,658,616,686,648,58,166,138,634,252,628,84,112,618,634,644,648,604,612,92,126,78,628,50,548,644,616,80
"14871",692,102,78,678,188,670,110,0,678,192,108,118,706,688,680,678,92,116,122,294,652,104,686,140,96,686,680,718,694,708,696,126,108,706,674,90,694,672,648,664,126,676,690,98,700,102,82,632,650,684,136,234,176,124,106,670,700,714,150,70,212,172,352,158,102,674,640,682,712,706,116,228,112,700,316,698,156,112,688,692,710,718,670,678,122,106,140,686,80,610,702,680,116
"14921",34,572,700,18,476,10,610,678,0,488,584,574,32,70,18,24,604,570,648,392,76,750,26,568,590,46,18,48,26,38,58,574,734,46,30,608,16,26,26,40,584,18,20,612,42,586,604,64,20,10,552,454,496,566,590,58,34,54,526,716,454,518,342,492,636,30,168,22,126,42,606,454,740,38,380,54,528,678,32,26,40,60,12,24,566,712,544,56,604,96,44,18,548
"15015",510,98,218,490,66,484,128,192,488,0,116,96,516,530,498,490,116,108,178,142,508,272,506,98,124,508,492,532,510,518,522,94,262,522,488,124,502,494,474,492,112,490,504,138,520,108,114,462,474,494,84,94,88,86,108,508,514,530,58,228,68,68,198,48,156,500,562,494,586,528,130,70,262,510,146,520,82,218,510,510,520,532,486,496,128,232,68,512,118,434,520,492,118
